srcNodeId	srcNodeType	dstNodeId	dstNodeType	rel	wallTime	hasUserGesture	method	referrerPolicy	windowName	type
77BD191BAAE37257C019E8F00AA56084_1BC2315830C234C2D3C91D0F0F08701E	Frame	35_77BD191BAAE37257C019E8F00AA56084_1BC2315830C234C2D3C91D0F0F08701E	Script	compile						
77BD191BAAE37257C019E8F00AA56084_1BC2315830C234C2D3C91D0F0F08701E	Frame	77C36B54562619AD0810712C40251F51_47C41CADABF5956DD24814F263FA274D	Frame	attach						
77BD191BAAE37257C019E8F00AA56084_1BC2315830C234C2D3C91D0F0F08701E	Frame	77C36B54562619AD0810712C40251F51_47C41CADABF5956DD24814F263FA274D	Frame	navigate						
36_77BD191BAAE37257C019E8F00AA56084_1BC2315830C234C2D3C91D0F0F08701E	Script	77C36B54562619AD0810712C40251F51_47C41CADABF5956DD24814F263FA274D	Frame	create						
77C36B54562619AD0810712C40251F51_47C41CADABF5956DD24814F263FA274D	Frame	37_77C36B54562619AD0810712C40251F51_47C41CADABF5956DD24814F263FA274D	Script	compile						
77C36B54562619AD0810712C40251F51_47C41CADABF5956DD24814F263FA274D	Frame	38_77C36B54562619AD0810712C40251F51_47C41CADABF5956DD24814F263FA274D	Script	compile						
77C36B54562619AD0810712C40251F51_47C41CADABF5956DD24814F263FA274D	Frame	39_77C36B54562619AD0810712C40251F51_47C41CADABF5956DD24814F263FA274D	Script	compile						
77C36B54562619AD0810712C40251F51_47C41CADABF5956DD24814F263FA274D	Frame	40_77C36B54562619AD0810712C40251F51_47C41CADABF5956DD24814F263FA274D	Script	compile						
77C36B54562619AD0810712C40251F51_47C41CADABF5956DD24814F263FA274D	Frame	41_77C36B54562619AD0810712C40251F51_47C41CADABF5956DD24814F263FA274D	Script	compile						
77C36B54562619AD0810712C40251F51_47C41CADABF5956DD24814F263FA274D	Frame	42_77C36B54562619AD0810712C40251F51_47C41CADABF5956DD24814F263FA274D	Script	compile						
77BD191BAAE37257C019E8F00AA56084_1BC2315830C234C2D3C91D0F0F08701E	Frame	3B1515DBD073D8234C8AC80866EA414A_B4545DCE5A05C57FB625034D0D71C193	Frame	attach						
77BD191BAAE37257C019E8F00AA56084_1BC2315830C234C2D3C91D0F0F08701E	Frame	3B1515DBD073D8234C8AC80866EA414A_B4545DCE5A05C57FB625034D0D71C193	Frame	navigate						
38_77BD191BAAE37257C019E8F00AA56084_1BC2315830C234C2D3C91D0F0F08701E	Script	3B1515DBD073D8234C8AC80866EA414A_B4545DCE5A05C57FB625034D0D71C193	Frame	create						
3B1515DBD073D8234C8AC80866EA414A_B4545DCE5A05C57FB625034D0D71C193	Frame	43_3B1515DBD073D8234C8AC80866EA414A_B4545DCE5A05C57FB625034D0D71C193	Script	compile						
3B1515DBD073D8234C8AC80866EA414A_B4545DCE5A05C57FB625034D0D71C193	Frame	44_3B1515DBD073D8234C8AC80866EA414A_B4545DCE5A05C57FB625034D0D71C193	Script	compile						
3B1515DBD073D8234C8AC80866EA414A_B4545DCE5A05C57FB625034D0D71C193	Frame	45_3B1515DBD073D8234C8AC80866EA414A_B4545DCE5A05C57FB625034D0D71C193	Script	compile						
3B1515DBD073D8234C8AC80866EA414A_B4545DCE5A05C57FB625034D0D71C193	Frame	46_3B1515DBD073D8234C8AC80866EA414A_B4545DCE5A05C57FB625034D0D71C193	Script	compile						
3B1515DBD073D8234C8AC80866EA414A_B4545DCE5A05C57FB625034D0D71C193	Frame	47_3B1515DBD073D8234C8AC80866EA414A_B4545DCE5A05C57FB625034D0D71C193	Script	compile						
3B1515DBD073D8234C8AC80866EA414A_B4545DCE5A05C57FB625034D0D71C193	Frame	48_3B1515DBD073D8234C8AC80866EA414A_B4545DCE5A05C57FB625034D0D71C193	Script	compile						
